Thumb Flex,Pointer Flex,Middle Flex,Ring and Pinky Flex,Fist
0.07299995422363281,93,93,93,93,93
0,0,0,0,0
0.2219998836517334,93,93,93,93,93
0.2219998836517334,93,93,93,93,93
0.32200002670288086,93,93,93,93,93
0.4219999313354492,93,93,93,93,93
0.5230000019073486,93,93,93,93,93
0.621999979019165,93,93,93,93,93
0.7230000495910645,93,93,93,93,93
0.8229999542236328,93,93,93,93,93
0.9219999313354492,93,93,93,93,93
1.0230000019073486,93,93,93,93,93
1.122999906539917,93,93,93,93,93
1.2219998836517334,93,93,93,93,93
1.3229999542236328,93,93,93,93,93
1.4229998588562012,93,93,93,93,93
1.5220000743865967,93,93,93,93,93
1.621999979019165,93,93,93,93,93
1.7230000495910645,93,93,93,93,93
1.8220000267028809,93,93,93,93,93
1.9219999313354492,93,93,93,93,93
2.0230000019073486,93,93,93,93,93
2.121999979019165,93,93,93,93,93
2.2230000495910645,93,93,93,93,93
2.322999954223633,93,93,93,93,93
2.421999931335449,93,93,93,93,93
2.5230000019073486,93,93,93,93,93
2.622999906539917,93,93,93,93,93
2.7219998836517334,93,93,93,93,93
2.822999954223633,93,93,93,93,93
2.922999858856201,93,93,93,93,93
3.0220000743865967,93,93,93,93,93
3.122999906539917,93,93,93,93,93
3.2230000495910645,93,93,93,93,93
3.322999954223633,93,93,93,93,93
3.4240000247955322,93,93,93,93,93
3.5230000019073486,93,93,93,93,93
3.622999906539917,93,93,93,93,93
3.7230000495910645,93,93,93,93,93
3.822999954223633,93,93,93,93,93
3.922999858856201,93,93,93,93,93
4.023999929428101,93,93,93,93,93
4.122999906539917,93,93,93,93,93
4.223999977111816,93,93,93,93,93
4.323999881744385,93,93,93,93,93
4.422999858856201,93,93,93,93,93
4.523000001907349,93,93,93,93,93
4.624000072479248,93,93,93,93,93
4.7230000495910645,93,93,93,93,93
4.823999881744385,93,93,93,93,93
4.922999858856201,93,93,93,93,93
5.023000001907349,93,93,93,93,93
5.122999906539917,93,93,93,93,93
5.2230000495910645,93,93,93,93,93
5.322999954223633,93,93,93,93,93
