Number,Latency Leap,Latency Arduino,Latency Serial,Latency Total
1,1,0.0,36.9999408722,35.9999408722
2,1,153.000116348,153.000116348,-1.0
3,1,0.0,12.0000839233,11.0000839233
4,1,0.0,33.9999198914,32.9999198914
5,1,0.0,32.9999923706,31.9999923706
6,1,0.0,32.9999923706,31.9999923706
7,1,0.0,33.9999198914,32.9999198914
8,1,0.0,32.9999923706,31.9999923706
9,1,0.0,32.9999923706,31.9999923706
10,1,0.0,32.9999923706,31.9999923706
11,1,0.0,32.9999923706,31.9999923706
12,1,0.0,34.0001583099,33.0001583099
13,1,0.999927520752,33.9999198914,31.9999923706
14,1,0.0,32.0000648499,31.0000648499
15,1,0.999927520752,33.9999198914,31.9999923706
16,1,0.0,32.9999923706,31.9999923706
17,1,0.0,32.9999923706,31.9999923706
18,1,0.0,32.9999923706,31.9999923706
19,1,0.0,34.0001583099,33.0001583099
20,1,0.0,32.9999923706,31.9999923706
21,1,0.0,32.9999923706,31.9999923706
22,1,0.0,33.9999198914,32.9999198914
23,1,0.999927520752,33.9999198914,31.9999923706
24,1,0.0,32.9999923706,31.9999923706
25,1,0.0,32.9999923706,31.9999923706
26,1,0.0,32.9999923706,31.9999923706
27,1,0.0,34.0001583099,33.0001583099
28,150,0.0,32.9999923706,-117.000007629
29,150,0.0,32.9999923706,-117.000007629
30,150,0.999927520752,33.9999198914,-117.000007629
31,158,0.0,32.9999923706,-125.000007629
32,158,0.0,32.0000648499,-125.99993515
33,158,0.0,33.9999198914,-124.000080109
34,150,0.0,34.0001583099,-115.99984169
35,150,0.0,32.9999923706,-117.000007629
36,150,0.0,32.9999923706,-117.000007629
37,113,0.0,32.9999923706,-80.0000076294
38,113,0.0,32.9999923706,-80.0000076294
39,113,0.999927520752,33.9999198914,-80.0000076294
40,35,0.0,32.9999923706,-2.00000762939
41,35,0.0,32.9999923706,-2.00000762939
42,35,0.0,32.9999923706,-2.00000762939
43,16,0.0,32.9999923706,16.9999923706
44,16,1.00016593933,34.0001583099,16.9999923706
45,16,0.0,33.9999198914,17.9999198914
46,9,0.999927520752,32.9999923706,23.0000648499
47,1,0.0,32.9999923706,31.9999923706
48,1,0.0,32.9999923706,31.9999923706
49,0,0.0,32.9999923706,32.9999923706
50,0,0.0,32.9999923706,32.9999923706
51,0,0.999927520752,33.9999198914,32.9999923706
52,0,0.0,34.0001583099,34.0001583099
53,1,0.0,32.9999923706,31.9999923706
54,1,0.0,32.9999923706,31.9999923706
55,28,0.0,32.9999923706,4.99999237061
56,28,0.999927520752,33.9999198914,4.99999237061
57,28,0.999927520752,32.9999923706,4.00006484985
58,28,0.0,32.9999923706,4.99999237061
59,28,0.0,34.0001583099,6.00015830994
60,28,1.00016593933,32.9999923706,3.99982643127
61,28,1.00016593933,32.9999923706,3.99982643127
62,1,0.0,32.9999923706,31.9999923706
63,1,0.0,32.9999923706,31.9999923706
64,1,0.0,32.9999923706,31.9999923706
65,1,0.999927520752,33.9999198914,31.9999923706
66,1,0.0,32.9999923706,31.9999923706
67,1,0.0,32.9999923706,31.9999923706
68,1,0.999927520752,33.9999198914,31.9999923706
69,1,0.0,32.9999923706,31.9999923706
70,1,0.0,32.9999923706,31.9999923706
71,1,0.0,32.9999923706,31.9999923706
72,1,0.0,34.0001583099,33.0001583099
73,1,0.0,32.9999923706,31.9999923706
74,1,0.0,32.9999923706,31.9999923706
75,1,0.0,32.9999923706,31.9999923706
76,1,0.0,33.9999198914,32.9999198914
77,42,0.0,32.9999923706,-9.00000762939
78,42,0.0,32.9999923706,-9.00000762939
79,42,0.0,34.0001583099,-7.99984169006
80,120,0.0,33.9999198914,-86.0000801086
81,120,0.0,32.9999923706,-87.0000076294
82,120,0.0,32.9999923706,-87.0000076294
83,118,0.0,33.9999198914,-84.0000801086
84,1,0.0,32.9999923706,31.9999923706
85,1,0.0,32.9999923706,31.9999923706
86,117,0.0,32.9999923706,-84.0000076294
87,117,0.0,33.0002307892,-83.9997692108
88,117,0.0,33.9999198914,-83.0000801086
89,109,0.0,32.9999923706,-76.0000076294
90,109,0.0,32.9999923706,-76.0000076294
91,109,0.0,32.9999923706,-76.0000076294
92,100,0.0,32.9999923706,-67.0000076294
93,100,0.0,32.9999923706,-67.0000076294
94,100,0.0,32.9999923706,-67.0000076294
95,102,0.0,35.0000858307,-66.9999141693
96,102,0.0,32.9999923706,-69.0000076294
97,102,0.0,32.9999923706,-69.0000076294
98,95,0.0,32.9999923706,-62.0000076294
99,1,0.0,33.9999198914,32.9999198914
100,1,0.0,32.9999923706,31.9999923706
101,64,0.0,32.9999923706,-31.0000076294
102,64,0.0,32.9999923706,-31.0000076294
103,64,0.0,34.0001583099,-29.9998416901
104,60,0.0,32.9999923706,-27.0000076294
105,60,0.0,32.9999923706,-27.0000076294
106,60,0.999927520752,33.9999198914,-27.0000076294
107,59,0.0,32.9999923706,-26.0000076294
108,1,0.0,32.9999923706,31.9999923706
109,1,0.0,32.9999923706,31.9999923706
110,105,0.0,32.9999923706,-72.0000076294
111,105,0.0,32.9999923706,-72.0000076294
112,105,0.0,33.9999198914,-71.0000801086
113,105,0.0,32.9999923706,-72.0000076294
114,105,0.0,33.0002307892,-71.9997692108
115,105,0.999927520752,33.9999198914,-72.0000076294
116,105,0.0,32.9999923706,-72.0000076294
117,105,0.0,32.9999923706,-72.0000076294
118,105,0.0,32.9999923706,-72.0000076294
119,105,0.0,32.9999923706,-72.0000076294
120,1,0.0,33.9999198914,32.9999198914
121,1,0.0,34.0001583099,33.0001583099
