Time,Thumb,Pointer,Middle,Ring,Pinky
0.1809999942779541,4,0,6,8,19
0.182999849319458,4,0,6,9,20
0.22300004959106445,4,0,7,8,20
0.3229999542236328,4,1,8,9,20
0.42299985885620117,3,1,6,10,21
0.5230000019073486,5,1,7,11,21
0.625,11,1,7,12,22
0.7239999771118164,28,2,7,12,22
0.8239998817443848,48,4,8,15,24
0.9249999523162842,72,5,9,16,25
1.0249998569488525,97,6,10,17,25
1.128000020980835,110,6,11,18,25
1.2279999256134033,122,9,15,19,26
1.3280000686645508,133,18,21,18,26
1.4279999732971191,136,23,23,16,23
1.5290000438690186,139,29,25,14,21
1.628999948501587,137,36,29,16,19
1.7289998531341553,136,41,32,16,18
1.8280000686645508,133,43,33,15,18
1.928999900817871,124,36,31,14,18
2.0299999713897705,114,30,26,13,17
2.128000020980835,100,22,24,12,16
2.2289998531341553,79,18,24,12,16
2.3289999961853027,61,15,22,12,16
2.427999973297119,40,12,20,12,16
2.5290000438690186,24,10,18,12,16
2.628999948501587,14,8,16,11,15
2.7269999980926514,11,7,14,11,16
2.828000068664551,11,6,14,10,15
2.927999973297119,15,5,14,10,15
3.0269999504089355,45,6,14,11,15
3.128000020980835,69,7,15,10,16
3.2279999256134033,92,7,16,12,16
3.3289999961853027,107,10,16,13,18
3.427999973297119,117,10,17,13,18
3.5290000438690186,124,18,21,14,19
3.628999948501587,127,27,25,15,18
3.7289998531341553,129,37,30,13,18
3.8289999961853027,129,47,35,16,18
3.927999973297119,128,48,35,15,17
4.0290000438690186,120,39,32,14,16
4.128000020980835,98,27,26,13,16
4.227999925613403,75,23,24,13,16
4.328000068664551,57,18,24,12,15
4.427999973297119,36,17,23,14,16
4.5290000438690186,24,15,22,13,16
4.628999948501587,14,12,19,12,16
4.727999925613403,9,11,16,11,14
4.828000068664551,8,10,15,11,14
4.927999973297119,9,9,14,12,14
5.0269999504089355,8,7,14,11,14
5.128000020980835,20,7,14,11,14
5.228999853134155,48,8,15,11,14
5.328000068664551,74,8,14,11,14
5.428999900817871,98,10,16,12,15
5.5299999713897705,122,16,21,16,16
5.628999948501587,132,19,24,16,17
5.730000019073486,129,19,28,16,16
5.829999923706055,129,25,31,14,17
5.930000066757202,129,33,33,16,17
6.0299999713897705,129,42,37,16,17
6.129999876022339,127,47,38,16,17
6.230000019073486,123,42,36,16,18
6.329999923706055,110,33,32,14,16
6.430000066757202,90,25,31,14,16
6.5279998779296875,70,21,28,14,15
6.628000020980835,55,19,26,14,15
6.728999853134155,41,16,24,13,14
6.828000068664551,26,14,21,12,13
6.927999973297119,16,12,19,12,13
7.0290000438690186,11,10,18,11,12
7.125999927520752,8,9,18,11,12
