Number,Latency Arduino,Latency Serial and Leap,Latency Total
1,0.093,0.0,0.093
2,0.093,0.0,0.093
3,0.093,0.0,0.093
4,0.093,0.0,0.093
5,0.093,0.0,0.093
6,0.093,0.0,0.093
7,0.093,0.0,0.093
8,0.093,0.0,0.093
9,0.093,0.0,0.093
10,0.093,0.0,0.093
11,0.093,0.0,0.093
12,0.093,0.0,0.093
13,0.093,0.0,0.093
14,0.093,0.0,0.093
15,0.093,0.0,0.093
16,0.093,0.0,0.093
17,0.093,0.0,0.093
18,0.093,0.0,0.093
19,0.093,0.0,0.093
20,0.093,0.0,0.093
21,0.093,0.0,0.093
22,0.093,0.0,0.093
23,0.093,0.0,0.093
24,0.093,0.0,0.093
25,0.093,0.0,0.093
26,0.093,0.0,0.093
27,0.093,0.0,0.093
28,0.093,0.0,0.093
29,0.093,0.0,0.093
30,0.093,0.0,0.093
31,0.093,0.0,0.093
32,0.093,0.0,0.093
33,0.093,0.0,0.093
34,0.093,0.0,0.093
35,0.093,0.0,0.093
36,0.093,0.0,0.093
37,0.093,0.0,0.093
38,0.093,0.0,0.093
39,0.093,0.0,0.093
40,0.093,0.0,0.093
41,0.093,0.0,0.093
42,0.093,0.0,0.093
43,0.093,0.0,0.093
44,0.093,0.0,0.093
45,0.093,0.0,0.093
46,0.093,0.0,0.093
47,0.093,0.0,0.093
48,0.093,0.0,0.093
49,0.093,0.0,0.093
50,0.093,0.0,0.093
51,0.093,0.0,0.093
52,0.093,0.0,0.093
53,0.093,0.0,0.093
54,0.093,0.0,0.093
55,0.093,0.0,0.093
56,0.093,0.0,0.093
57,0.093,0.0,0.093
58,0.093,0.0,0.093
59,0.093,0.0,0.093
60,0.093,0.0,0.093
61,0.093,0.0,0.093
62,0.093,0.0,0.093
63,0.093,0.0,0.093
64,0.093,0.0,0.093
65,0.093,0.0,0.093
66,0.093,0.0,0.093
67,0.093,0.0,0.093
68,0.093,0.0,0.093
69,0.093,0.0,0.093
70,0.093,0.0,0.093
71,0.093,0.0,0.093
72,0.093,0.0,0.093
73,0.093,0.0,0.093
74,0.093,0.0,0.093
75,0.093,0.0,0.093
76,0.093,0.0,0.093
77,0.093,0.0,0.093
78,0.093,0.0,0.093
79,0.093,0.0,0.093
80,0.093,0.0,0.093
81,0.093,0.0,0.093
82,0.093,0.0,0.093
83,0.093,0.0,0.093
84,0.093,0.0,0.093
85,0.093,0.0,0.093
86,0.093,0.0,0.093
87,0.093,0.0,0.093
88,0.093,0.0,0.093
89,0.093,0.0,0.093
90,0.093,0.0,0.093
91,0.093,0.0,0.093
92,0.093,0.0,0.093
93,0.093,0.0,0.093
94,0.093,0.0,0.093
95,0.093,0.0,0.093
96,0.093,0.0,0.093
97,0.093,0.0,0.093
98,0.093,0.0,0.093
99,0.093,0.0,0.093
100,0.093,0.0,0.093
101,0.093,0.0,0.093
102,0.093,0.0,0.093
103,0.093,0.0,0.093
104,0.093,0.0,0.093
105,0.093,0.0,0.093
106,0.093,0.0,0.093
107,0.093,0.0,0.093
108,0.093,0.0,0.093
109,0.093,0.0,0.093
110,0.093,0.0,0.093
111,0.093,0.0,0.093
112,0.093,0.0,0.093
113,0.093,0.0,0.093
114,0.093,0.0,0.093
115,0.093,0.0,0.093
116,0.093,0.0,0.093
117,0.093,0.0,0.093
118,0.093,0.0,0.093
119,0.093,0.0,0.093
120,0.093,0.0,0.093
121,0.093,0.0,0.093
122,0.093,0.0,0.093
123,0.093,0.0,0.093
124,0.093,0.0,0.093
125,0.093,0.0,0.093
126,0.093,0.0,0.093
127,0.093,0.0,0.093
128,0.093,0.0,0.093
129,0.093,0.0,0.093
130,0.093,0.0,0.093
131,0.093,0.0,0.093
132,0.093,0.0,0.093
133,0.093,0.0,0.093
134,0.093,0.0,0.093
135,0.093,0.0,0.093
136,0.093,0.0,0.093
137,0.093,0.0,0.093
138,0.093,0.0,0.093
139,0.093,0.0,0.093
140,0.093,0.0,0.093
141,0.093,0.0,0.093
142,0.093,0.0,0.093
143,0.093,0.0,0.093
144,0.093,0.0,0.093
145,0.093,0.0,0.093
146,0.093,0.0,0.093
147,0.093,0.0,0.093
148,0.093,0.0,0.093
149,0.093,0.0,0.093
150,0.093,0.0,0.093
151,0.093,0.0,0.093
152,0.093,0.0,0.093
153,0.093,0.0,0.093
154,0.093,0.0,0.093
155,0.093,0.0,0.093
156,0.093,0.0,0.093
157,0.093,0.0,0.093
158,0.093,0.0,0.093
159,0.093,0.0,0.093
160,0.093,0.0,0.093
161,0.093,0.0,0.093
162,0.093,0.0,0.093
163,0.093,0.0,0.093
164,0.093,0.0,0.093
165,0.093,0.0,0.093
166,0.093,0.0,0.093
167,0.093,0.0,0.093
168,0.093,0.0,0.093
169,0.093,0.0,0.093
170,0.093,0.0,0.093
171,0.093,0.0,0.093
172,0.093,0.0,0.093
173,0.093,0.0,0.093
174,0.093,0.0,0.093
175,0.093,0.0,0.093
176,0.093,0.0,0.093
177,0.093,0.0,0.093
178,0.093,0.0,0.093
179,0.093,0.0,0.093
180,0.093,0.0,0.093
181,0.093,0.0,0.093
182,0.093,0.0,0.093
183,0.093,0.0,0.093
184,0.093,0.0,0.093
185,0.093,0.0,0.093
186,0.093,0.0,0.093
187,0.093,0.0,0.093
188,0.093,0.0,0.093
189,0.093,0.0,0.093
190,0.093,0.0,0.093
191,0.093,0.0,0.093
192,0.093,0.0,0.093
193,0.093,0.0,0.093
194,0.093,0.0,0.093
195,0.093,0.0,0.093
196,0.093,0.0,0.093
197,0.093,0.0,0.093
198,0.093,0.0,0.093
199,0.093,0.0,0.093
200,0.093,0.0,0.093
201,0.093,0.0,0.093
202,0.093,0.0,0.093
203,0.093,0.0,0.093
204,0.093,0.0,0.093
205,0.093,0.0,0.093
206,0.093,0.0,0.093
207,0.093,0.0,0.093
208,0.093,0.0,0.093
209,0.093,0.0,0.093
210,0.093,0.0,0.093
211,0.093,0.0,0.093
212,0.093,0.0,0.093
213,0.093,0.0,0.093
214,0.093,0.0,0.093
215,0.093,0.0,0.093
216,0.093,0.0,0.093
217,0.093,0.0,0.093
218,0.093,0.0,0.093
219,0.093,0.0,0.093
220,0.093,0.0,0.093
221,0.093,0.0,0.093
222,0.093,0.0,0.093
223,0.093,0.0,0.093
224,0.093,0.0,0.093
225,0.093,0.0,0.093
226,0.093,0.0,0.093
227,0.093,0.0,0.093
228,0.093,0.0,0.093
229,0.093,0.0,0.093
230,0.093,0.0,0.093
231,0.093,0.0,0.093
232,0.093,0.0,0.093
233,0.093,0.0,0.093
234,0.093,0.0,0.093
235,0.093,0.0,0.093
236,0.093,0.0,0.093
237,0.093,0.0,0.093
238,0.093,0.0,0.093
239,0.093,0.0,0.093
