Time,Thumb,Pointer,Middle,Ring,Pinky
0.33099985122680664,0,0,0,0,0
0.3320000171661377,23,105,8,8,5
0.33299994468688965,18,0,4,6,7
0.35199999809265137,18,0,4,6,7
0.45599985122680664,18,0,4,7,7
0.560999870300293,18,0,6,8,9
0.6649999618530273,21,0,1,2,6
0.7679998874664307,25,0,2,4,5
0.870999813079834,49,0,3,6,6
0.9749999046325684,98,0,4,7,7
1.0820000171661377,110,0,6,8,7
1.185999870300293,137,0,6,8,7
1.2899999618530273,153,0,7,8,7
1.3959999084472656,152,10,10,10,10
1.503999948501587,148,15,13,12,11
1.6050000190734863,154,16,14,12,10
1.7079999446868896,154,16,17,12,9
1.810999870300293,154,19,19,13,8
1.9169998168945312,148,14,16,12,7
2.0199999809265137,117,6,12,13,8
2.121999979019165,95,0,9,12,8
2.2269999980926514,70,0,5,11,8
2.3299999237060547,43,0,4,10,8
2.434000015258789,26,0,0,5,8
2.5360000133514404,5,0,0,1,6
2.6419999599456787,16,0,0,4,7
2.743000030517578,8,0,0,3,6
2.8499999046325684,2,0,0,4,6
2.9539999961853027,12,0,0,6,6
3.055999994277954,76,0,1,7,6
3.1589999198913574,121,0,11,12,6
3.257999897003174,160,0,4,8,6
3.361999988555908,166,63,11,11,6
3.4579999446868896,172,8,11,9,6
3.562000036239624,166,15,12,9,6
3.6679999828338623,153,18,15,11,5
3.7719998359680176,158,27,22,16,7
3.875,154,28,23,17,7
3.9779999256134033,154,27,23,18,7
4.085000038146973,144,15,17,16,7
4.187000036239624,126,2,11,13,8
4.289999961853027,110,0,7,10,7
4.392999887466431,90,0,4,7,7
4.497999906539917,62,0,0,5,7
4.602999925613403,30,0,0,4,7
4.704999923706055,0,0,0,4,7
4.809000015258789,10,0,0,4,7
4.914999961853027,13,0,0,3,8
5.016999959945679,16,0,0,5,9
5.121999979019165,73,0,0,8,10
5.22599983215332,144,3,9,10,9
5.329999923706055,167,8,12,11,18
5.434000015258789,164,10,17,14,22
5.5329999923706055,171,16,22,15,10
5.636999845504761,163,19,24,17,11
5.740000009536743,153,24,26,20,12
5.8450000286102295,148,24,26,22,13
5.949999809265137,145,20,23,22,12
6.052999973297119,124,10,17,19,11
6.1559998989105225,117,5,15,18,10
6.259999990463257,116,2,13,16,9
6.363999843597412,102,0,10,14,8
6.4670000076293945,76,0,8,13,8
6.57099986076355,50,0,7,13,7
6.674999952316284,22,0,6,12,7
6.7769999504089355,6,0,5,9,6
6.88100004196167,0,0,3,8,5
6.984999895095825,2,0,3,6,4
7.08899998664856,6,0,2,6,3
7.188999891281128,21,0,0,9,0
7.289999961853027,10,0,3,7,6
7.392999887466431,41,0,4,8,6
7.493000030517578,103,0,8,9,0
7.593999862670898,159,1,4,8,7
7.698999881744385,176,4,6,7,6
7.801999807357788,175,4,8,8,7
7.906999826431274,172,8,10,9,7
8.01199984550476,159,12,12,10,8
8.116999864578247,148,20,15,12,10
8.22000002861023,146,26,19,15,9
8.325999975204468,143,26,18,16,10
8.428999900817871,132,18,14,15,9
8.531999826431274,113,9,10,14,8
8.635999917984009,119,4,8,13,7
8.738999843597412,94,0,4,10,7
8.840999841690063,64,0,2,9,7
8.944999933242798,180,0,4,9,102
9.039999961853027,8,0,1,8,6
9.141999959945679,0,0,1,8,5
9.241999864578247,0,0,0,9,0
9.345999956130981,10,0,2,9,6
9.448999881744385,7,0,3,9,6
9.553999900817871,20,0,3,9,7
